"","X","observation","datetime","variable","site_id"
"1",1813,28.6516,"2018-07-06","temperature","FCR"
"2",1814,29.118,"2018-07-07","temperature","FCR"
"3",1815,27.7434,"2018-07-08","temperature","FCR"
"4",1816,26.7095,"2018-07-09","temperature","FCR"
"5",1817,26.1023,"2018-07-10","temperature","FCR"
"6",1818,26.4273,"2018-07-11","temperature","FCR"
"7",1819,26.9588,"2018-07-12","temperature","FCR"
"8",1820,27.9322,"2018-07-13","temperature","FCR"
"9",1821,28.3155,"2018-07-14","temperature","FCR"
"10",1822,27.6023,"2018-07-15","temperature","FCR"
"11",1823,27.5068,"2018-07-16","temperature","FCR"
"12",1824,27.9442,"2018-07-17","temperature","FCR"
"13",1825,28.034,"2018-07-18","temperature","FCR"
"14",1826,28.6548,"2018-07-19","temperature","FCR"
"15",1827,27.8099,"2018-07-20","temperature","FCR"
"16",1828,27.1791,"2018-07-21","temperature","FCR"
"17",1829,26.7791,"2018-07-22","temperature","FCR"
"18",1830,26.106,"2018-07-23","temperature","FCR"
"19",1831,25.3905,"2018-07-24","temperature","FCR"
"20",1832,25.3921,"2018-07-25","temperature","FCR"
"21",1833,25.5227,"2018-07-26","temperature","FCR"
"22",1834,25.0101,"2018-07-27","temperature","FCR"
"23",1835,25.9311,"2018-07-28","temperature","FCR"
"24",1836,26.3814,"2018-07-29","temperature","FCR"
"25",1837,26.0645,"2018-07-30","temperature","FCR"
"26",1838,26.6836,"2018-07-31","temperature","FCR"
"27",1839,25.5487,"2018-08-01","temperature","FCR"
"28",1840,25.9315,"2018-08-02","temperature","FCR"
"29",1841,25.4214,"2018-08-03","temperature","FCR"
"30",1842,24.8117,"2018-08-04","temperature","FCR"
"31",1843,24.6646,"2018-08-05","temperature","FCR"
"32",1844,25.3619,"2018-08-06","temperature","FCR"
"33",1845,25.8529,"2018-08-07","temperature","FCR"
"34",1846,27.2262,"2018-08-08","temperature","FCR"
"35",1847,26.5976,"2018-08-09","temperature","FCR"
"36",1848,27.1464,"2018-08-10","temperature","FCR"
"37",1849,26.3868,"2018-08-11","temperature","FCR"
"38",1850,27.1399,"2018-08-12","temperature","FCR"
"39",1851,26.8611,"2018-08-13","temperature","FCR"
"40",1852,26.4941,"2018-08-14","temperature","FCR"
"41",1853,24.8893,"2018-08-25","temperature","FCR"
"42",1854,24.5686,"2018-08-26","temperature","FCR"
"43",1855,24.8111,"2018-08-28","temperature","FCR"
"44",1856,25.1918,"2018-08-29","temperature","FCR"
"45",1857,25.7095,"2018-08-30","temperature","FCR"
"46",1858,26.0261,"2018-08-31","temperature","FCR"
"47",1859,26.529,"2018-09-01","temperature","FCR"
"48",1860,26.3418,"2018-09-02","temperature","FCR"
"49",1861,26.0156,"2018-09-03","temperature","FCR"
"50",1862,26.6344,"2018-09-04","temperature","FCR"
"51",1863,26.5924,"2018-09-05","temperature","FCR"
"52",1864,26.9714,"2018-09-06","temperature","FCR"
"53",1865,26.8549,"2018-09-07","temperature","FCR"
"54",1866,27.8581,"2018-09-08","temperature","FCR"
"55",1867,26.7994,"2018-09-09","temperature","FCR"
"56",1868,24.9483,"2018-09-10","temperature","FCR"
"57",1869,23.9052,"2018-09-11","temperature","FCR"
"58",1870,23.7628,"2018-09-12","temperature","FCR"
"59",1871,23.8732,"2018-09-13","temperature","FCR"
"60",1872,24.9077,"2018-09-14","temperature","FCR"
"61",1873,24.685,"2018-09-15","temperature","FCR"
"62",1874,24.0783,"2018-09-16","temperature","FCR"
"63",1875,23.1952,"2018-09-17","temperature","FCR"
"64",1876,22.9231,"2018-09-18","temperature","FCR"
"65",1877,23.5255,"2018-09-19","temperature","FCR"
"66",1878,23.2477,"2018-09-20","temperature","FCR"
"67",1879,23.9557,"2018-09-21","temperature","FCR"
"68",1880,24.5085,"2018-09-22","temperature","FCR"
"69",1881,24.6394,"2018-09-23","temperature","FCR"
"70",1882,22.8743,"2018-09-24","temperature","FCR"
"71",1883,21.5645,"2018-09-26","temperature","FCR"
"72",1884,21.7749,"2018-09-27","temperature","FCR"
"73",1885,21.5814,"2018-09-28","temperature","FCR"
"74",1886,21.3672,"2018-09-29","temperature","FCR"
"75",1887,21.6289,"2018-09-30","temperature","FCR"
"76",1888,20.8638,"2018-10-01","temperature","FCR"
"77",1889,21.5123,"2018-10-02","temperature","FCR"
"78",1890,21.772,"2018-10-03","temperature","FCR"
"79",1891,21.6388,"2018-10-04","temperature","FCR"
"80",1892,21.9788,"2018-10-05","temperature","FCR"
"81",1893,22.2076,"2018-10-06","temperature","FCR"
"82",1894,22.5546,"2018-10-07","temperature","FCR"
"83",1895,22.406,"2018-10-08","temperature","FCR"
"84",1896,23.0509,"2018-10-09","temperature","FCR"
"85",1897,23.1622,"2018-10-10","temperature","FCR"
"86",1898,22.4994,"2018-10-11","temperature","FCR"
"87",1899,21.5952,"2018-10-12","temperature","FCR"
"88",1900,19.6095,"2018-10-13","temperature","FCR"
"89",1901,18.6401,"2018-10-14","temperature","FCR"
"90",1902,17.5144,"2018-10-15","temperature","FCR"
"91",1903,17.5933,"2018-10-16","temperature","FCR"
"92",1904,17.2817,"2018-10-17","temperature","FCR"
"93",1905,17.0342,"2018-10-18","temperature","FCR"
"94",1906,16.8745,"2018-10-19","temperature","FCR"
"95",1907,16.1832,"2018-10-20","temperature","FCR"
"96",1908,15.8855,"2018-10-21","temperature","FCR"
"97",1909,15.1648,"2018-10-22","temperature","FCR"
"98",1910,14.3141,"2018-10-23","temperature","FCR"
"99",1911,13.9581,"2018-10-24","temperature","FCR"
"100",1912,14.0958,"2018-10-25","temperature","FCR"
"101",1913,13.3332,"2018-10-26","temperature","FCR"
"102",1914,12.8181,"2018-10-27","temperature","FCR"
"103",1915,12.6003,"2018-10-28","temperature","FCR"
"104",1916,12.3457,"2018-10-29","temperature","FCR"
"105",1917,12.6474,"2018-10-30","temperature","FCR"
"106",1918,12.2096,"2018-10-31","temperature","FCR"
"107",1919,12.8991,"2018-11-01","temperature","FCR"
"108",1920,12.7759,"2018-11-02","temperature","FCR"
"109",1921,13.2305,"2018-11-03","temperature","FCR"
"110",1922,12.8169,"2018-11-04","temperature","FCR"
"111",1923,12.2164,"2018-11-05","temperature","FCR"
"112",1924,12.637,"2018-11-06","temperature","FCR"
"113",1925,12.7056,"2018-11-07","temperature","FCR"
"114",1926,13.0887,"2018-11-08","temperature","FCR"
"115",1927,12.507,"2018-11-09","temperature","FCR"
"116",1928,12.0374,"2018-11-10","temperature","FCR"
"117",1929,11.529,"2018-11-11","temperature","FCR"
"118",1930,10.5646,"2018-11-12","temperature","FCR"
"119",1931,10.0157,"2018-11-13","temperature","FCR"
"120",1932,9.7177,"2018-11-14","temperature","FCR"
"121",1933,9.3456,"2018-11-15","temperature","FCR"
"122",1934,8.7464,"2018-11-16","temperature","FCR"
"123",1935,8.3617,"2018-11-17","temperature","FCR"
"124",1936,8.7654,"2018-11-18","temperature","FCR"
"125",1937,8.0114,"2018-11-19","temperature","FCR"
"126",1938,8.6189,"2018-11-20","temperature","FCR"
"127",1939,8.9559,"2018-11-21","temperature","FCR"
"128",1940,8.4178,"2018-11-22","temperature","FCR"
"129",1941,8.1496,"2018-11-23","temperature","FCR"
"130",1942,7.4933,"2018-11-24","temperature","FCR"
"131",1943,7.2355,"2018-11-25","temperature","FCR"
"132",1944,7.1653,"2018-11-26","temperature","FCR"
"133",1945,7.0765,"2018-11-27","temperature","FCR"
"134",1946,6.6817,"2018-11-28","temperature","FCR"
"135",1947,5.8403,"2018-11-29","temperature","FCR"
"136",1948,5.5573,"2018-11-30","temperature","FCR"
"137",1949,5.9642,"2018-12-01","temperature","FCR"
"138",1950,5.9125,"2018-12-02","temperature","FCR"
"139",1951,5.845,"2018-12-03","temperature","FCR"
"140",1952,6.0808,"2018-12-04","temperature","FCR"
"141",1953,5.9464,"2018-12-05","temperature","FCR"
"142",1954,5.6943,"2018-12-06","temperature","FCR"
"143",1955,5.4438,"2018-12-07","temperature","FCR"
"144",1956,5.2296,"2018-12-08","temperature","FCR"
"145",1957,5.0675,"2018-12-09","temperature","FCR"
"146",1958,4.0973,"2018-12-10","temperature","FCR"
"147",1959,3.709,"2018-12-11","temperature","FCR"
"148",1960,3.4596,"2018-12-12","temperature","FCR"
"149",1961,3.2917,"2018-12-13","temperature","FCR"
"150",1962,3.2519,"2018-12-14","temperature","FCR"
"151",1963,3.4064,"2018-12-15","temperature","FCR"
"152",1964,3.9089,"2018-12-16","temperature","FCR"
"153",1965,4.3817,"2018-12-17","temperature","FCR"
"154",1966,4.9517,"2018-12-18","temperature","FCR"
"155",1967,4.8956,"2018-12-19","temperature","FCR"
"156",1968,4.6614,"2018-12-20","temperature","FCR"
"157",1969,4.9175,"2018-12-21","temperature","FCR"
"158",1970,5.5161,"2018-12-22","temperature","FCR"
"159",1971,5.5527,"2018-12-23","temperature","FCR"
"160",1972,5.3085,"2018-12-24","temperature","FCR"
"161",1973,5.2948,"2018-12-25","temperature","FCR"
"162",1974,5.2532,"2018-12-26","temperature","FCR"
