"","depth","observation","datetime","site_id","variable"
"1",0,4.1081,2021-01-02,"FCR","temperature"
"2",0,4.9403,2021-01-03,"FCR","temperature"
"3",0,5.4925,2021-01-04,"FCR","temperature"
"4",0,4.9672,2021-01-05,"FCR","temperature"
"5",0,4.9758,2021-01-06,"FCR","temperature"
"6",0,4.7295,2021-01-07,"FCR","temperature"
"7",0,4.7489,2021-01-08,"FCR","temperature"
"8",0,4.4476,2021-01-09,"FCR","temperature"
"9",0,4.0412,2021-01-10,"FCR","temperature"
"10",0,3.6881,2021-01-11,"FCR","temperature"
"11",0,3.3803,2021-01-12,"FCR","temperature"
"12",0,3.6247,2021-01-13,"FCR","temperature"
"13",0,3.3792,2021-01-14,"FCR","temperature"
"14",0,3.337,2021-01-15,"FCR","temperature"
"15",0,3.1834,2021-01-16,"FCR","temperature"
"16",0,3.1864,2021-01-17,"FCR","temperature"
"17",0,3.3426,2021-01-18,"FCR","temperature"
"18",0,3.3249,2021-01-19,"FCR","temperature"
"19",0,3.2709,2021-01-20,"FCR","temperature"
"20",0,2.9878,2021-01-21,"FCR","temperature"
"21",0,3.2766,2021-01-22,"FCR","temperature"
"22",0,3.4816,2021-01-23,"FCR","temperature"
"23",0,2.8564,2021-01-24,"FCR","temperature"
"24",0,2.979,2021-01-25,"FCR","temperature"
"25",0,3.0422,2021-01-26,"FCR","temperature"
"26",0,3.1237,2021-01-27,"FCR","temperature"
"27",0,3.2491,2021-01-28,"FCR","temperature"
"28",0,3.34,2021-01-29,"FCR","temperature"
"29",0,2.7268,2021-01-30,"FCR","temperature"
"30",0,2.6931,2021-01-31,"FCR","temperature"
"31",0,2.1848,2021-02-01,"FCR","temperature"
"32",0,2.3672,2021-02-02,"FCR","temperature"
"33",0,2.2804,2021-02-03,"FCR","temperature"
"34",0,2.2138,2021-02-04,"FCR","temperature"
"35",0,2.003,2021-02-05,"FCR","temperature"
"36",0,2.4097,2021-02-06,"FCR","temperature"
"37",0,2.4954,2021-02-07,"FCR","temperature"
"38",0,2.4985,2021-02-08,"FCR","temperature"
"39",0,2.4918,2021-02-09,"FCR","temperature"
"40",0,3.1065,2021-02-10,"FCR","temperature"
"41",0,3.2348,2021-02-11,"FCR","temperature"
"42",0,3.3525,2021-02-12,"FCR","temperature"
"43",0,3.0614,2021-02-13,"FCR","temperature"
"44",0,2.8946,2021-02-14,"FCR","temperature"
"45",0,3.0216,2021-02-15,"FCR","temperature"
"46",0,3.3877,2021-02-16,"FCR","temperature"
"47",0,3.4595,2021-02-17,"FCR","temperature"
"48",0,3.206,2021-02-18,"FCR","temperature"
"49",0,2.8509,2021-02-19,"FCR","temperature"
"50",0,3.1967,2021-02-20,"FCR","temperature"
"51",0,2.9853,2021-02-21,"FCR","temperature"
"52",0,3.2167,2021-02-22,"FCR","temperature"
"53",0,3.3608,2021-02-23,"FCR","temperature"
"54",0,3.6973,2021-02-24,"FCR","temperature"
"55",0,4.1062,2021-02-25,"FCR","temperature"
"56",0,5.8439,2021-02-26,"FCR","temperature"
"57",0,5.123,2021-02-27,"FCR","temperature"
"58",0,6.05,2021-02-28,"FCR","temperature"
"59",0,5.8798,2021-03-01,"FCR","temperature"
"60",0,5.9712,2021-03-02,"FCR","temperature"
"61",0,6.1176,2021-03-03,"FCR","temperature"
"62",0,6.9574,2021-03-04,"FCR","temperature"
"63",0,7.2047,2021-03-05,"FCR","temperature"
"64",0,6.6611,2021-03-06,"FCR","temperature"
"65",0,6.615,2021-03-07,"FCR","temperature"
"66",0,6.9435,2021-03-08,"FCR","temperature"
"67",0,8.1826,2021-03-09,"FCR","temperature"
"68",0,7.6312,2021-03-10,"FCR","temperature"
"69",0,7.9091,2021-03-11,"FCR","temperature"
"70",0,9.2934,2021-03-12,"FCR","temperature"
"71",0,9.7447,2021-03-13,"FCR","temperature"
"72",0,10.0942,2021-03-14,"FCR","temperature"
"73",0,9.4291,2021-03-15,"FCR","temperature"
"74",0,8.2287,2021-03-16,"FCR","temperature"
"75",0,7.988,2021-03-17,"FCR","temperature"
"76",0,8.7033,2021-03-18,"FCR","temperature"
"77",0,9.1637,2021-03-19,"FCR","temperature"
"78",0,9.8104,2021-03-20,"FCR","temperature"
